Time,Processor(_Total)\% User Time
2024-04-27 17:15:26,0
2024-04-27 17:15:37,0.88882549747603034618
2024-04-27 17:15:48,0.56884560929462779644
2024-04-27 17:15:59,0.70998068997927299417
2024-04-27 17:16:10,0.88752625375004889907
2024-04-27 17:16:21,0.71003677631506723067
2024-04-27 17:16:32,0.71002392832896232822
2024-04-27 17:16:43,0.60437522876936145
2024-04-27 17:16:54,0.78100127949252817761
2024-04-27 17:17:05,0.60341893415979219739
2024-04-27 17:17:16,0.53251797476962769995
2024-04-27 17:17:27,0.46218708623549187298
2024-04-27 17:17:38,1.561925481210043376
2024-04-27 17:17:49,0.49702428436796258771
2024-04-27 17:18:00,0.60352011335795296976
2024-04-27 17:18:11,0.95853566445076221481
